GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dc-con-app,org.bremersee.dccon.repository.cli,DhcpLeaseParser.Default,24,209,12,22,7,47,12,13,0,8
dc-con-app,org.bremersee.dccon.repository.cli,CommandExecutor,30,84,5,7,6,20,8,3,3,2
dc-con-app,org.bremersee.dccon.repository.cli,DhcpLeaseParser,0,9,0,0,0,2,0,2,0,2
dc-con-app,org.bremersee.dccon.repository.cli,CommandExecutorResponseValidator,0,5,0,0,0,2,0,1,0,1
dc-con-app,org.bremersee.dccon.repository.cli,PasswordInformationParser.Default,24,208,1,7,7,39,1,19,0,16
dc-con-app,org.bremersee.dccon.repository.cli,CommandExecutorResponse,46,196,13,27,0,32,10,25,1,14
dc-con-app,org.bremersee.dccon.repository.cli,PasswordInformationParser,0,4,0,0,0,1,0,1,0,1
dc-con-app,org.bremersee.dccon.service.validator,AbstractDomainEntityValidator,11,35,3,3,3,10,4,5,1,5
dc-con-app,org.bremersee.dccon.service.validator,DomainGroupValidator,0,7,0,0,0,1,0,1,0,1
dc-con-app,org.bremersee.dccon.service.validator,DomainUserValidator.Default,12,125,5,11,3,31,5,8,0,5
dc-con-app,org.bremersee.dccon.service.validator,DomainGroupValidator.Default,28,38,8,0,0,12,6,3,2,3
dc-con-app,org.bremersee.dccon.service.validator,DomainUserValidator,0,7,0,0,0,1,0,1,0,1
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,DnsRecordValueTranscoder,16,207,3,3,5,38,3,6,0,6
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,GeneralizedTimeToOffsetDateTimeValueTranscoder,0,40,0,0,0,12,0,5,0,5
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,SidValueTranscoder,3,72,1,5,2,22,1,9,0,7
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,UserGroupValueTranscoder,2,27,1,1,1,9,1,5,0,5
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,FileTimeToOffsetDateTimeValueTranscoder,0,51,0,4,0,12,0,8,0,6
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,UserAccountControlValueTranscoder,11,89,2,14,1,21,3,13,1,7
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,GroupMemberValueTranscoder,2,27,1,1,1,9,1,5,0,5
dc-con-app,org.bremersee.dccon.repository.ldap.transcoder,DnsRecordDataMapper,33,177,4,10,10,38,4,7,0,4
dc-con-app,org.bremersee.dccon.repository.img,ImageScaler,3,161,0,6,1,34,1,8,1,5
dc-con-app,org.bremersee.dccon.controller,DomainManagementController,0,19,0,0,0,7,0,3,0,3
dc-con-app,org.bremersee.dccon.controller,DemoController,0,27,0,0,0,11,0,3,0,3
dc-con-app,org.bremersee.dccon.controller,DomainUserManagementController,34,167,5,9,5,34,5,19,1,16
dc-con-app,org.bremersee.dccon.controller,NameServerManagementController,12,81,3,1,1,17,3,11,1,11
dc-con-app,org.bremersee.dccon.controller,DomainGroupManagementController,0,65,1,3,0,12,1,9,0,8
dc-con-app,org.bremersee.dccon.repository,DnsNodeRepository,57,21,7,1,9,4,8,3,4,3
dc-con-app,org.bremersee.dccon.repository,DomainUserRepositoryMock,91,383,18,26,12,80,16,28,2,20
dc-con-app,org.bremersee.dccon.repository,DnsZoneRepositoryMock,12,102,1,3,1,23,2,12,1,11
dc-con-app,org.bremersee.dccon.repository,DhcpRepositoryImpl,4,100,2,6,1,29,2,10,0,8
dc-con-app,org.bremersee.dccon.repository,DnsZoneRepository,0,26,0,2,0,2,0,5,0,4
dc-con-app,org.bremersee.dccon.repository,DnsNodeRepositoryMock,75,386,9,29,12,75,13,30,6,18
dc-con-app,org.bremersee.dccon.repository,DomainRepository,5,38,3,5,1,11,3,2,0,1
dc-con-app,org.bremersee.dccon.repository,DnsNodeRepositoryImpl,106,445,18,28,22,82,15,31,3,20
dc-con-app,org.bremersee.dccon.repository,DomainRepositoryMock,0,19,0,0,0,8,0,4,0,4
dc-con-app,org.bremersee.dccon.repository,AbstractDnsNodeRepository,177,901,62,68,40,168,54,66,6,49
dc-con-app,org.bremersee.dccon.repository,DomainRepositoryImpl,40,18,1,1,10,7,2,3,1,3
dc-con-app,org.bremersee.dccon.repository,DomainUserRepositoryImpl.new AbstractLdaptiveErrorHandler() {...},35,6,6,0,11,1,4,1,1,1
dc-con-app,org.bremersee.dccon.repository,AbstractRepository,52,67,2,10,13,17,4,10,2,6
dc-con-app,org.bremersee.dccon.repository,DnsRecordType,12,1144,9,18,3,112,8,17,0,11
dc-con-app,org.bremersee.dccon.repository,DhcpRepositoryMock,7,116,1,5,3,33,1,11,0,9
dc-con-app,org.bremersee.dccon.repository,DomainGroupRepositoryMock,23,92,9,7,1,16,6,13,0,11
dc-con-app,org.bremersee.dccon.repository,DnsZoneRepositoryImpl,103,195,11,17,21,39,16,19,6,15
dc-con-app,org.bremersee.dccon.repository,DomainUserRepositoryImpl,224,635,31,45,53,140,35,24,6,15
dc-con-app,org.bremersee.dccon.repository,DomainGroupRepositoryImpl,127,171,12,14,31,36,14,13,4,10
dc-con-app,org.bremersee.dccon.service,DnsZoneComparator,187,28,42,4,30,7,25,3,2,3
dc-con-app,org.bremersee.dccon.service,DomainUserServiceImpl,27,130,7,5,9,32,7,12,1,12
dc-con-app,org.bremersee.dccon.service,NameServerServiceImpl,97,200,14,14,24,47,16,13,3,12
dc-con-app,org.bremersee.dccon.service,EmailServiceMock,7,14,0,0,2,5,1,3,1,3
dc-con-app,org.bremersee.dccon.service,AuthenticationServiceImpl,90,0,6,0,24,0,7,0,4,0
dc-con-app,org.bremersee.dccon.service,DnsNodeComparator,26,67,10,8,3,13,9,3,0,3
dc-con-app,org.bremersee.dccon.service,DomainServiceImpl,0,14,0,0,0,5,0,3,0,3
dc-con-app,org.bremersee.dccon.service,AuthenticationServiceMock,25,14,4,0,3,6,4,3,2,3
dc-con-app,org.bremersee.dccon.service,DomainGroupServiceImpl,7,81,3,1,3,20,3,9,1,9
dc-con-app,org.bremersee.dccon.service,AbstractEmailService,82,16,8,0,21,6,9,2,5,2
